id,protein_id,tissue,gender,tpm,tpm_rank,tpm_rank_bysex,tpm_level,tpm_level_bysex,tpm_f,tpm_m,log2foldchange,tau,tau_bysex,uberon_id
86051,9245,Brain - Anterior cingulate cortex (BA24),F,11.54,0.224,0.216,Low,Low,11.54,9.094,0.313,0.736,0.728,UBERON:0009835
86053,9245,Brain - Caudate (basal ganglia),F,9.712,0.143,0.098,Low,Low,9.712,8.891,0.115,0.736,0.728,UBERON:0002420
86055,9245,Brain - Cerebellar Hemisphere,F,29.23,0.898,0.922,High,High,29.23,30.01,-0.037,0.736,0.728,UBERON:0002245
86057,9245,Brain - Cerebellum,F,22.125,0.51,0.451,Medium,Medium,22.125,24.895,-0.163,0.736,0.728,UBERON:0002037
86059,9245,Brain - Cortex,F,12.19,0.245,0.255,Low,Medium,12.19,12.565,-0.04,0.736,0.728,UBERON:0000956
86061,9245,Brain - Frontal Cortex (BA9),F,15.595,0.316,0.294,Medium,Medium,15.595,15.64,-0.004,0.736,0.728,UBERON:0001870
86063,9245,Brain - Hippocampus,F,7.549,0.041,0.039,Low,Low,7.549,7.67,-0.02,0.736,0.728,UBERON:0022430
86065,9245,Brain - Hypothalamus,F,10.685,0.184,0.157,Low,Low,10.685,12.35,-0.192,0.736,0.728,UBERON:0001898
86067,9245,Brain - Nucleus accumbens (basal ganglia),F,11.25,0.204,0.176,Low,Low,11.25,10.69,0.068,0.736,0.728,UBERON:0001882
86069,9245,Brain - Putamen (basal ganglia),F,6.762,0.01,0.02,Low,Low,6.762,6.796,-0.006,0.736,0.728,UBERON:0001874
86071,9245,Brain - Spinal cord (cervical c-1),F,13.31,0.276,0.275,Medium,Medium,13.31,14.11,-0.078,0.736,0.728,UBERON:0006469
86073,9245,Brain - Substantia nigra,F,10.25,0.173,0.137,Low,Low,10.25,7.778,0.358,0.736,0.728,UBERON:0002038
