mondoid,protein_id,did,name
MONDO:0010311,15515,DOID:9883,Becker muscular dystrophy
MONDO:0010311,11275,DOID:9883,Becker muscular dystrophy
MONDO:0010311,685,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4555,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8175,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4595,DOID:9883,Becker muscular dystrophy
MONDO:0010311,14097,DOID:9883,Becker muscular dystrophy
MONDO:0010311,14130,DOID:9883,Becker muscular dystrophy
MONDO:0010311,14107,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5530,DOID:9883,Becker muscular dystrophy
MONDO:0010311,15278,DOID:9883,Becker muscular dystrophy
MONDO:0010311,19896,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1260,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12936,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12445,DOID:9883,Becker muscular dystrophy
MONDO:0010311,16706,DOID:9883,Becker muscular dystrophy
MONDO:0010311,2258,DOID:9883,Becker muscular dystrophy
MONDO:0010311,6174,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13945,DOID:9883,Becker muscular dystrophy
MONDO:0010311,4344,DOID:9883,Becker muscular dystrophy
MONDO:0010311,10549,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5193,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1281,DOID:9883,Becker muscular dystrophy
MONDO:0010311,17048,DOID:9883,Becker muscular dystrophy
MONDO:0010311,17911,DOID:9883,Becker muscular dystrophy
MONDO:0010311,9996,DOID:9883,Becker muscular dystrophy
MONDO:0010311,2590,DOID:9883,Becker muscular dystrophy
MONDO:0010311,5871,DOID:9883,Becker muscular dystrophy
MONDO:0010311,6823,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12876,DOID:9883,Becker muscular dystrophy
MONDO:0010311,10265,DOID:9883,Becker muscular dystrophy
MONDO:0010311,16629,DOID:9883,Becker muscular dystrophy
MONDO:0010311,7626,DOID:9883,Becker muscular dystrophy
MONDO:0010311,8643,DOID:9883,Becker muscular dystrophy
MONDO:0010311,13114,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18944,DOID:9883,Becker muscular dystrophy
MONDO:0010311,20164,DOID:9883,Becker muscular dystrophy
MONDO:0010311,367,DOID:9883,Becker muscular dystrophy
MONDO:0010311,6460,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1937,DOID:9883,Becker muscular dystrophy
MONDO:0010311,12715,DOID:9883,Becker muscular dystrophy
MONDO:0010311,18765,DOID:9883,Becker muscular dystrophy
MONDO:0010311,1941,DOID:9883,Becker muscular dystrophy
MONDO:0010311,11730,DOID:9883,Becker muscular dystrophy
MONDO:0010311,3530,DOID:9883,Becker muscular dystrophy
MONDO:0010311,19131,DOID:9883,Becker muscular dystrophy
MONDO:0010679,549,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2434,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,11279,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8854,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1853,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,15816,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,19370,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10206,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2543,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3576,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10552,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5385,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,789,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5708,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14302,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,16891,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,7704,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6188,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8133,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14566,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,475,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1570,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14634,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3058,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,16765,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,18011,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,12084,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2847,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,1603,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6191,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,2673,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9797,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,16872,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,14510,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,17388,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5210,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,3749,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,10045,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,15710,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,8984,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,5356,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,18516,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,98,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,13075,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,6604,DOID:11723,Duchenne muscular dystrophy
MONDO:0010679,9479,DOID:11723,Duchenne muscular dystrophy
